Job ID,Job Title,Country,Job Description,Skills Required,Experience Required,Age Required,Salary,Working Hours,Facilities,Looking gender,No. of job seekers required,Available Quantity
43,Chef,Romania,"This is a job for a Chef in Romania. As a Chef, you will be responsible for menu planning, ensuring efficiency and quality in your role. Your key duties will include food presentation, culinary techniques, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Menu planning, Food presentation, Culinary techniques skills and the ability to work in a fast-paced, professional setting. Prior experience in chef is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Menu Planning, Culinary Arts, Food Presentation, Kitchen Management, Ingredient Sourcing",Experienced,35-56,"Rs. 164,477.00",12 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",27,26
44,Chef,Kuwait,"This is a job for a Chef in Kuwait. As a Chef, you will be responsible for menu planning, ensuring efficiency and quality in your role. Your key duties will include food presentation, culinary techniques, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Menu planning, Food presentation, Culinary techniques skills and the ability to work in a fast-paced, professional setting. Prior experience in chef is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Menu Planning, Culinary Arts, Food Presentation, Kitchen Management, Ingredient Sourcing","1st time, Experienced",29-55,"Rs. 164,744.00",9 hours,"Accommodation, Food, Transport","male, female",129,119
45,Chef De Partie,Kuwait,"This is a job for a Chef De Partie in Kuwait. As a Chef De Partie, you will be responsible for food plating, ensuring efficiency and quality in your role. Your key duties will include section management, inventory control, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Food plating, Section management, Inventory control skills and the ability to work in a fast-paced, professional setting. Prior experience in chef de partie is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Station Supervision, Advanced Cooking Techniques, Food Plating, Inventory Control, Staff Coordination",Experienced,34-50,"Rs. 299,901.00",8 hours,"Accommodation, Medical, Meal Allowance","male, female",178,64
46,Chef De Partie,Malaysia,"This is a job for a Chef De Partie in Malaysia. As a Chef De Partie, you will be responsible for food plating, ensuring efficiency and quality in your role. Your key duties will include section management, inventory control, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Food plating, Section management, Inventory control skills and the ability to work in a fast-paced, professional setting. Prior experience in chef de partie is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Malaysia, this role is for you.","Station Supervision, Advanced Cooking Techniques, Food Plating, Inventory Control, Staff Coordination","1st time, Experienced",26-56,"Rs. 273,836.00",8 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",125,32
47,Civil Helper,Bahrain,"This is a job for a Civil Helper in Bahrain. As a Civil Helper, you will be responsible for material handling, ensuring efficiency and quality in your role. Your key duties will include basic masonry, site safety, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Material handling, Basic masonry, Site safety skills and the ability to work in a fast-paced, professional setting. Prior experience in civil helper is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Construction Assistance, Material Handling, Site Safety, Basic Carpentry, Scaffolding","1st time, Experienced",22-42,"Rs. 210,379.00",9 hours,"Accommodation, Food, Medical","male, female",132,72
48,Civil Helper,Lebanon,"This is a job for a Civil Helper in Lebanon. As a Civil Helper, you will be responsible for material handling, ensuring efficiency and quality in your role. Your key duties will include basic masonry, site safety, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Material handling, Basic masonry, Site safety skills and the ability to work in a fast-paced, professional setting. Prior experience in civil helper is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Lebanon, this role is for you.","Construction Assistance, Material Handling, Site Safety, Basic Carpentry, Scaffolding",1st time,36-55,"Rs. 206,448.00",10 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",73,2
49,Cleaner,Bahrain,"This is a job for a Cleaner in Bahrain. As a Cleaner, you will be responsible for sanitation procedures, ensuring efficiency and quality in your role. Your key duties will include waste disposal, surface cleaning, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Sanitation procedures, Waste disposal, Surface cleaning skills and the ability to work in a fast-paced, professional setting. Prior experience in cleaner is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Sanitation Procedures, Chemical Handling, Surface Cleaning, Waste Disposal, Equipment Use","1st time, Experienced",27-41,"Rs. 234,345.00",11 hours,"Accommodation, Medical, Meal Allowance","male, female",140,85
50,Cleaner,Qatar,"This is a job for a Cleaner in Qatar. As a Cleaner, you will be responsible for sanitation procedures, ensuring efficiency and quality in your role. Your key duties will include waste disposal, surface cleaning, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Sanitation procedures, Waste disposal, Surface cleaning skills and the ability to work in a fast-paced, professional setting. Prior experience in cleaner is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Sanitation Procedures, Chemical Handling, Surface Cleaning, Waste Disposal, Equipment Use","1st time, Experienced",34-58,"Rs. 177,742.00",11 hours,"Accommodation, Medical","male, female",56,32
51,Cleaning Girls (Hotel),Romania,"This is a job for a Cleaning Girls (Hotel) in Romania. As a Cleaning Girls (Hotel), you will be responsible for housekeeping, ensuring efficiency and quality in your role. Your key duties will include laundry service, guest assistance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Housekeeping, Laundry service, Guest assistance skills and the ability to work in a fast-paced, professional setting. Prior experience in cleaning girls (hotel) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Housekeeping, Room Maintenance, Laundry Services, Guest Interaction, Attention to Detail","1st time, Experienced",31-54,"Rs. 179,340.00",8 hours,"Accommodation, Food, Transport","male, female",174,80
52,Cleaning Girls (Hotel),Kuwait,"This is a job for a Cleaning Girls (Hotel) in Kuwait. As a Cleaning Girls (Hotel), you will be responsible for housekeeping, ensuring efficiency and quality in your role. Your key duties will include laundry service, guest assistance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Housekeeping, Laundry service, Guest assistance skills and the ability to work in a fast-paced, professional setting. Prior experience in cleaning girls (hotel) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Housekeeping, Room Maintenance, Laundry Services, Guest Interaction, Attention to Detail","1st time, Experienced",33-55,"Rs. 260,382.00",10 hours,"Accommodation, Food, Transport","male, female",145,48
53,Commis Chef,Bahrain,"This is a job for a Commis Chef in Bahrain. As a Commis Chef, you will be responsible for ingredient preparation, ensuring efficiency and quality in your role. Your key duties will include kitchen hygiene, cooking techniques, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Ingredient preparation, Kitchen hygiene, Cooking techniques skills and the ability to work in a fast-paced, professional setting. Prior experience in commis chef is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Food Preparation, Ingredient Handling, Cooking Assistance, Kitchen Hygiene, Workstation Setup",1st time,32-51,"Rs. 256,010.00",10 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",126,109
54,Commis Chef,Malaysia,"This is a job for a Commis Chef in Malaysia. As a Commis Chef, you will be responsible for ingredient preparation, ensuring efficiency and quality in your role. Your key duties will include kitchen hygiene, cooking techniques, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Ingredient preparation, Kitchen hygiene, Cooking techniques skills and the ability to work in a fast-paced, professional setting. Prior experience in commis chef is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Malaysia, this role is for you.","Food Preparation, Ingredient Handling, Cooking Assistance, Kitchen Hygiene, Workstation Setup",1st time,26-51,"Rs. 222,519.00",9 hours,"Accommodation, Medical","male, female",176,30
55,Computer operators / Programmers,Qatar,"This is a job for a Computer operators / Programmers in Qatar. As a Computer operators / Programmers, you will be responsible for data entry, ensuring efficiency and quality in your role. Your key duties will include software troubleshooting, system maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Data entry, Software troubleshooting, System maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in computer operators / programmers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Software Development, Data Entry, System Troubleshooting, Coding, Database Management",1st time,31-54,"Rs. 251,387.00",10 hours,"Accommodation, Medical","male, female",78,48
56,Computer operators / Programmers,Kuwait,"This is a job for a Computer operators / Programmers in Kuwait. As a Computer operators / Programmers, you will be responsible for data entry, ensuring efficiency and quality in your role. Your key duties will include software troubleshooting, system maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Data entry, Software troubleshooting, System maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in computer operators / programmers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Software Development, Data Entry, System Troubleshooting, Coding, Database Management",Experienced,24-46,"Rs. 219,945.00",9 hours,"Accommodation, Medical","male, female",21,5
57,Construction Helpers,Singapore,"This is a job for a Construction Helpers in Singapore. As a Construction Helpers, you will be responsible for scaffolding, ensuring efficiency and quality in your role. Your key duties will include concrete mixing, safety compliance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Scaffolding, Concrete mixing, Safety compliance skills and the ability to work in a fast-paced, professional setting. Prior experience in construction helpers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","Building Assistance, Material Transport, Safety Compliance, Demolition, Heavy Lifting",1st time,37-60,"Rs. 225,506.00",8 hours,"Accommodation, Medical, Meal Allowance","male, female",173,169
58,Construction Helpers,Lebanon,"This is a job for a Construction Helpers in Lebanon. As a Construction Helpers, you will be responsible for scaffolding, ensuring efficiency and quality in your role. Your key duties will include concrete mixing, safety compliance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Scaffolding, Concrete mixing, Safety compliance skills and the ability to work in a fast-paced, professional setting. Prior experience in construction helpers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Lebanon, this role is for you.","Building Assistance, Material Transport, Safety Compliance, Demolition, Heavy Lifting",Experienced,36-59,"Rs. 219,459.00",9 hours,"Accommodation, Food, Transport","male, female",52,12
59,Crane Operator,Kuwait,"This is a job for a Crane Operator in Kuwait. As a Crane Operator, you will be responsible for load balancing, ensuring efficiency and quality in your role. Your key duties will include equipment maintenance, safety protocols, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Load balancing, Equipment maintenance, Safety protocols skills and the ability to work in a fast-paced, professional setting. Prior experience in crane operator is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Load Handling, Machine Operation, Safety Procedures, Site Coordination, Precision Maneuvering",1st time,40-52,"Rs. 152,194.00",12 hours,"Accommodation, Food, Medical","male, female",175,141
60,Crane Operator,Oman,"This is a job for a Crane Operator in Oman. As a Crane Operator, you will be responsible for load balancing, ensuring efficiency and quality in your role. Your key duties will include equipment maintenance, safety protocols, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Load balancing, Equipment maintenance, Safety protocols skills and the ability to work in a fast-paced, professional setting. Prior experience in crane operator is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Oman, this role is for you.","Load Handling, Machine Operation, Safety Procedures, Site Coordination, Precision Maneuvering","1st time, Experienced",34-47,"Rs. 184,920.00",12 hours,"Accommodation, Food, Medical","male, female",17,7
61,Customer Service Officer,Bahrain,"This is a job for a Customer Service Officer in Bahrain. As a Customer Service Officer, you will be responsible for conflict resolution, ensuring efficiency and quality in your role. Your key duties will include communication skills, crm software, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Conflict resolution, Communication skills, CRM software skills and the ability to work in a fast-paced, professional setting. Prior experience in customer service officer is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Client Communication, Problem Solving, Conflict Resolution, CRM Tools, Data Entry",Experienced,21-46,"Rs. 288,701.00",10 hours,"Accommodation, Medical, Meal Allowance","male, female",164,135
62,Customer Service Officer,Qatar,"This is a job for a Customer Service Officer in Qatar. As a Customer Service Officer, you will be responsible for conflict resolution, ensuring efficiency and quality in your role. Your key duties will include communication skills, crm software, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Conflict resolution, Communication skills, CRM software skills and the ability to work in a fast-paced, professional setting. Prior experience in customer service officer is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Client Communication, Problem Solving, Conflict Resolution, CRM Tools, Data Entry",Experienced,23-52,"Rs. 173,053.00",10 hours,"Accommodation, Food, Transport","male, female",179,4
63,Delivery Rider,Jordan,"This is a job for a Delivery Rider in Jordan. As a Delivery Rider, you will be responsible for navigation, ensuring efficiency and quality in your role. Your key duties will include customer interaction, time management, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Navigation, Customer interaction, Time management skills and the ability to work in a fast-paced, professional setting. Prior experience in delivery rider is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Jordan, this role is for you.","Navigation, Time Management, Customer Relations, Safe Driving, Package Handling",Experienced,29-59,"Rs. 165,765.00",9 hours,"Accommodation, Medical, Meal Allowance","male, female",184,69
64,Delivery Rider,Dubai,"This is a job for a Delivery Rider in Dubai. As a Delivery Rider, you will be responsible for navigation, ensuring efficiency and quality in your role. Your key duties will include customer interaction, time management, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Navigation, Customer interaction, Time management skills and the ability to work in a fast-paced, professional setting. Prior experience in delivery rider is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Navigation, Time Management, Customer Relations, Safe Driving, Package Handling",Experienced,21-60,"Rs. 214,146.00",12 hours,"Accommodation, Food, Medical","male, female",87,72
65,Demi Chef De Partie,Oman,"This is a job for a Demi Chef De Partie in Oman. As a Demi Chef De Partie, you will be responsible for station setup, ensuring efficiency and quality in your role. Your key duties will include cooking methods, kitchen coordination, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Station setup, Cooking methods, Kitchen coordination skills and the ability to work in a fast-paced, professional setting. Prior experience in demi chef de partie is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Oman, this role is for you.","Kitchen Supervision, Food Presentation, Culinary Preparation, Ingredient Management, Menu Execution",Experienced,28-55,"Rs. 210,780.00",12 hours,"Accommodation, Medical","male, female",8,1
66,Demi Chef De Partie,Qatar,"This is a job for a Demi Chef De Partie in Qatar. As a Demi Chef De Partie, you will be responsible for station setup, ensuring efficiency and quality in your role. Your key duties will include cooking methods, kitchen coordination, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Station setup, Cooking methods, Kitchen coordination skills and the ability to work in a fast-paced, professional setting. Prior experience in demi chef de partie is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Kitchen Supervision, Food Presentation, Culinary Preparation, Ingredient Management, Menu Execution",Experienced,38-46,"Rs. 230,155.00",12 hours,"Accommodation, Medical, Meal Allowance","male, female",95,91
67,Dishwasher,Kuwait,"This is a job for a Dishwasher in Kuwait. As a Dishwasher, you will be responsible for dish sanitization, ensuring efficiency and quality in your role. Your key duties will include fast-paced work, hygiene maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Dish sanitization, Fast-paced work, Hygiene maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in dishwasher is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Sanitization, Fast-Paced Work, Equipment Maintenance, Hygiene Standards, Waste Disposal","1st time, Experienced",29-56,"Rs. 284,263.00",11 hours,"Accommodation, Medical, Meal Allowance","male, female",122,63
68,Dishwasher,Bahrain,"This is a job for a Dishwasher in Bahrain. As a Dishwasher, you will be responsible for dish sanitization, ensuring efficiency and quality in your role. Your key duties will include fast-paced work, hygiene maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Dish sanitization, Fast-paced work, Hygiene maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in dishwasher is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Sanitization, Fast-Paced Work, Equipment Maintenance, Hygiene Standards, Waste Disposal","1st time, Experienced",32-55,"Rs. 297,255.00",8 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",58,45
69,Driver,Singapore,"This is a job for a Driver in Singapore. As a Driver, you will be responsible for road safety, ensuring efficiency and quality in your role. Your key duties will include navigation, defensive driving, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Road safety, Navigation, Defensive driving skills and the ability to work in a fast-paced, professional setting. Prior experience in driver is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","Road Safety, Vehicle Maintenance, Route Planning, Customer Service, Navigation","1st time, Experienced",25-41,"Rs. 233,689.00",8 hours,"Accommodation, Medical, Meal Allowance",male,86,16
70,Driver,Dubai,"This is a job for a Driver in Dubai. As a Driver, you will be responsible for road safety, ensuring efficiency and quality in your role. Your key duties will include navigation, defensive driving, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Road safety, Navigation, Defensive driving skills and the ability to work in a fast-paced, professional setting. Prior experience in driver is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Road Safety, Vehicle Maintenance, Route Planning, Customer Service, Navigation","1st time, Experienced",26-58,"Rs. 189,565.00",11 hours,"Accommodation, Medical",male,13,12
71,Driver (Agriculture/Land),Bahrain,"This is a job for a Driver (Agriculture/Land) in Bahrain. As a Driver (Agriculture/Land), you will be responsible for farm equipment handling, ensuring efficiency and quality in your role. Your key duties will include heavy vehicle operation, route planning, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Farm equipment handling, Heavy vehicle operation, Route planning skills and the ability to work in a fast-paced, professional setting. Prior experience in driver (agriculture/land) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Farm Equipment Handling, Heavy Vehicle Operation, Field Transportation, Safety Compliance, Irrigation Machinery",1st time,28-50,"Rs. 259,683.00",10 hours,"Accommodation, Medical, Meal Allowance",male,197,14
72,Driver (Agriculture/Land),Jordan,"This is a job for a Driver (Agriculture/Land) in Jordan. As a Driver (Agriculture/Land), you will be responsible for farm equipment handling, ensuring efficiency and quality in your role. Your key duties will include heavy vehicle operation, route planning, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Farm equipment handling, Heavy vehicle operation, Route planning skills and the ability to work in a fast-paced, professional setting. Prior experience in driver (agriculture/land) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Jordan, this role is for you.","Farm Equipment Handling, Heavy Vehicle Operation, Field Transportation, Safety Compliance, Irrigation Machinery",1st time,39-51,"Rs. 261,183.00",8 hours,"Accommodation, Food, Medical",male,42,20
73,Driver (Heavy Vehicle - Truck),Saudi Arabia,"This is a job for a Driver (Heavy Vehicle - Truck) in Saudi Arabia. As a Driver (Heavy Vehicle - Truck), you will be responsible for cargo handling, ensuring efficiency and quality in your role. Your key duties will include long-haul driving, vehicle maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Cargo handling, Long-haul driving, Vehicle maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in driver (heavy vehicle - truck) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Saudi Arabia, this role is for you.","Long-Haul Transport, Cargo Handling, Traffic Law Compliance, Fuel Management, Emergency Response",Experienced,25-42,"Rs. 193,884.00",11 hours,"Accommodation, Medical",male,96,30
74,Driver (Heavy Vehicle - Truck),Singapore,"This is a job for a Driver (Heavy Vehicle - Truck) in Singapore. As a Driver (Heavy Vehicle - Truck), you will be responsible for cargo handling, ensuring efficiency and quality in your role. Your key duties will include long-haul driving, vehicle maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Cargo handling, Long-haul driving, Vehicle maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in driver (heavy vehicle - truck) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","Long-Haul Transport, Cargo Handling, Traffic Law Compliance, Fuel Management, Emergency Response","1st time, Experienced",25-43,"Rs. 241,060.00",11 hours,"Accommodation, Medical, Transport, Meal Allowance",male,158,143
75,Driver (Light Vehicle - Domestic/Taxi),Jordan,"This is a job for a Driver (Light Vehicle - Domestic/Taxi) in Jordan. As a Driver (Light Vehicle - Domestic/Taxi), you will be responsible for customer service, ensuring efficiency and quality in your role. Your key duties will include short-distance navigation, car maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Customer service, Short-distance navigation, Car maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in driver (light vehicle - domestic/taxi) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Jordan, this role is for you.","Short-Distance Navigation, Customer Interaction, Safe Driving, Vehicle Cleaning, Road Law Knowledge","1st time, Experienced",39-47,"Rs. 200,269.00",10 hours,"Accommodation, Medical",male,97,14
76,Driver (Light Vehicle - Domestic/Taxi),Lebanon,"This is a job for a Driver (Light Vehicle - Domestic/Taxi) in Lebanon. As a Driver (Light Vehicle - Domestic/Taxi), you will be responsible for customer service, ensuring efficiency and quality in your role. Your key duties will include short-distance navigation, car maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Customer service, Short-distance navigation, Car maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in driver (light vehicle - domestic/taxi) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Lebanon, this role is for you.","Short-Distance Navigation, Customer Interaction, Safe Driving, Vehicle Cleaning, Road Law Knowledge",1st time,38-41,"Rs. 252,864.00",12 hours,"Accommodation, Food, Transport",male,189,34
77,Electrician,Romania,"This is a job for a Electrician in Romania. As a Electrician, you will be responsible for circuit testing, ensuring efficiency and quality in your role. Your key duties will include electrical installations, troubleshooting, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Circuit testing, Electrical installations, Troubleshooting skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Wiring Installation, Circuit Troubleshooting, Power Systems, Equipment Maintenance, Safety Compliance","1st time, Experienced",22-44,"Rs. 171,557.00",10 hours,"Accommodation, Food, Medical","male, female",131,16
78,Electrician,Romania,"This is a job for a Electrician in Romania. As a Electrician, you will be responsible for circuit testing, ensuring efficiency and quality in your role. Your key duties will include electrical installations, troubleshooting, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Circuit testing, Electrical installations, Troubleshooting skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Wiring Installation, Circuit Troubleshooting, Power Systems, Equipment Maintenance, Safety Compliance",1st time,32-60,"Rs. 192,652.00",10 hours,"Accommodation, Medical, Meal Allowance","male, female",170,38
79,Electrician (Auto),Jordan,"This is a job for a Electrician (Auto) in Jordan. As a Electrician (Auto), you will be responsible for vehicle wiring, ensuring efficiency and quality in your role. Your key duties will include battery diagnostics, electrical component repair, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Vehicle wiring, Battery diagnostics, Electrical component repair skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician (auto) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Jordan, this role is for you.","Vehicle Electronics, Battery Systems, Lighting Repairs, Sensor Troubleshooting, Engine Wiring","1st time, Experienced",33-52,"Rs. 299,744.00",12 hours,"Accommodation, Food, Transport","male, female",14,6
80,Electrician (Auto),Romania,"This is a job for a Electrician (Auto) in Romania. As a Electrician (Auto), you will be responsible for vehicle wiring, ensuring efficiency and quality in your role. Your key duties will include battery diagnostics, electrical component repair, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Vehicle wiring, Battery diagnostics, Electrical component repair skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician (auto) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Vehicle Electronics, Battery Systems, Lighting Repairs, Sensor Troubleshooting, Engine Wiring",Experienced,34-49,"Rs. 185,200.00",11 hours,"Accommodation, Food, Transport","male, female",106,18
81,Electrician (Domestic),Dubai,"This is a job for a Electrician (Domestic) in Dubai. As a Electrician (Domestic), you will be responsible for house wiring, ensuring efficiency and quality in your role. Your key duties will include power distribution, fixture installation, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong House wiring, Power distribution, Fixture installation skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician (domestic) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Home Wiring, Power Distribution, Fixture Installation, Breaker Panel Repair, Energy Efficiency","1st time, Experienced",39-49,"Rs. 204,869.00",12 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",82,77
82,Electrician (Domestic),Qatar,"This is a job for a Electrician (Domestic) in Qatar. As a Electrician (Domestic), you will be responsible for house wiring, ensuring efficiency and quality in your role. Your key duties will include power distribution, fixture installation, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong House wiring, Power distribution, Fixture installation skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician (domestic) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Home Wiring, Power Distribution, Fixture Installation, Breaker Panel Repair, Energy Efficiency",Experienced,33-43,"Rs. 271,693.00",10 hours,"Accommodation, Medical","male, female",74,65
83,Electrician (Industrial),Singapore,"This is a job for a Electrician (Industrial) in Singapore. As a Electrician (Industrial), you will be responsible for motor control, ensuring efficiency and quality in your role. Your key duties will include plc programming, high-voltage systems, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Motor control, PLC programming, High-voltage systems skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician (industrial) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","High Voltage Systems, Industrial Wiring, Machine Installations, Power Load Management, Electrical Panel Setup",1st time,40-46,"Rs. 160,076.00",9 hours,"Accommodation, Medical","male, female",78,6
84,Electrician (Industrial),Lebanon,"This is a job for a Electrician (Industrial) in Lebanon. As a Electrician (Industrial), you will be responsible for motor control, ensuring efficiency and quality in your role. Your key duties will include plc programming, high-voltage systems, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Motor control, PLC programming, High-voltage systems skills and the ability to work in a fast-paced, professional setting. Prior experience in electrician (industrial) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Lebanon, this role is for you.","High Voltage Systems, Industrial Wiring, Machine Installations, Power Load Management, Electrical Panel Setup","1st time, Experienced",33-50,"Rs. 151,041.00",8 hours,"Accommodation, Food, Medical","male, female",62,35
